method,metric,slice_agg,across_volumes_sum,across_volumes_mean,across_volumes_median,across_volumes_std
bilateral,cnr,median,25.9854371411061,1.85610265293615,1.833726226707327,0.26963230208294275
bilateral,cnr,global,31.505559404150613,2.2503971002964724,2.2754569492870815,0.22194152690856894
bilateral,beta,sum,1944.637451316849,138.90267509406064,140.93696021933886,5.5022415802316935
bilateral,beta,mean,9.723187256584243,0.6945133754703031,0.7046848010966943,0.027511207901158463
bilateral,beta,median,9.906319613354778,0.7075942580967699,0.7157249467966783,0.04212997067440049
bilateral,beta,global,12.01622264145855,0.8583016172470392,0.8605194171031729,0.025643325787376957
bilateral,snr_bg,sum,27814.771626476933,1986.7694018912096,1953.5519298502113,153.28542485146932
bilateral,snr_bg,mean,139.0738581323847,9.933847009456048,9.767759649251055,0.7664271242573468
bilateral,snr_bg,median,128.90846545030297,9.207747532164499,9.259966182524224,0.6133916701789236
bilateral,snr_bg,global,122.3156445774698,8.736831755533556,8.639661050216326,0.4329064072591932
bilateral,enl_bg,sum,77927.13595376934,5566.2239966978095,5002.988089596852,1461.3236143718866
bilateral,enl_bg,mean,389.6356797688468,27.831119983489057,25.01494044798426,7.306618071859434
bilateral,enl_bg,median,291.116440056762,20.794031432625854,19.047548671002954,9.639679600385612
bilateral,enl_bg,global,126.50795483824245,9.03628248844589,8.630268683820574,1.9967114264291053
bilateral,cnr_bg,sum,14047.2199287143,1003.3728520510214,1012.7497989359908,183.6004565498028
bilateral,cnr_bg,mean,70.2360996435715,5.016864260255107,5.063748994679955,0.9180022827490142
bilateral,cnr_bg,median,57.17311711719674,4.083794079799767,4.082431921826393,0.7635318563559149
bilateral,cnr_bg,global,80.43863046204304,5.745616461574502,5.711080402981915,0.5180759963527035
bilateral,bg_sigma,sum,18696.717899127623,1335.4798499376873,1328.0670400506372,167.07104733470774
bilateral,bg_sigma,mean,93.48358949563811,6.6773992496884365,6.640335200253186,0.8353552366735388
bilateral,bg_sigma,median,84.51648918162817,6.036892084402012,5.800609454570246,1.7088431545269427
bilateral,bg_sigma,global,123.44405559856357,8.81743254275454,8.767878042597145,0.6961178659548504
tv,snr,sum,15448.323645283872,1103.451688948848,1053.1431230105159,247.55790504372567
tv,snr,mean,77.24161822641938,5.517258444744241,5.265715615052579,1.2377895252186284
tv,snr,median,57.72085790850388,4.122918422035991,4.119419127865648,0.3426206498373328
tv,snr,global,50.84517677339161,3.6317983409565433,3.644950150325048,0.23768598899246837
tv,enl,sum,141756.1265812102,10125.437612943586,8613.85773432149,5657.535701023006
tv,enl,mean,708.7806329060512,50.62718806471794,43.06928867160745,28.287678505115032
tv,enl,median,239.622271815,17.115876558214286,16.970294839894464,2.8736428887165486
tv,enl,global,185.45035346233237,13.246453818738027,13.285664965180686,1.7334224694457512
tv,cnr,sum,4155.666161634999,296.8332972596428,287.4610508920243,66.42609251526927
tv,cnr,mean,20.778330808174996,1.484166486298214,1.4373052544601213,0.3321304625763464
tv,cnr,median,20.130638189113455,1.4379027277938181,1.437534361808198,0.36806418782163125
tv,cnr,global,28.700107412698692,2.050007672335621,2.080702697589679,0.2304134107982073
tv,beta,sum,1029.1443360847295,73.51030972033782,75.11390709674092,12.321304594192487
tv,beta,mean,5.145721680423648,0.36755154860168915,0.37556953548370464,0.06160652297096243
tv,beta,median,5.59147792684915,0.39939128048922495,0.40758408833174714,0.07164114208637459
tv,beta,global,8.374446963710142,0.598174783122153,0.5961870945358898,0.03262547995057943
tv,snr_bg,sum,30891.892838228647,2206.563774159189,2203.1107339161663,320.05995595994557
tv,snr_bg,mean,154.45946419114318,11.032818870795941,11.01555366958083,1.6002997797997278
tv,snr_bg,median,136.88387653726448,9.777419752661748,8.535240318888095,2.554868059871599
tv,snr_bg,global,106.64477074396997,7.617483624569283,7.535527323834267,0.29234041801702854
tv,enl_bg,sum,194184.31745698804,13870.30838978486,10937.635858165562,6483.726152552096
tv,enl_bg,mean,970.9215872849402,69.3515419489243,54.688179290827804,32.418630762760486
tv,enl_bg,median,386.62237876540934,27.615884197529237,18.37874224319043,21.54918253407038
tv,enl_bg,global,116.10581408905549,8.293272434932534,7.927505881230774,2.1040209160685968
tv,cnr_bg,sum,12144.727445612749,867.4805318294821,889.9508893989789,197.89968792739967
tv,cnr_bg,mean,60.72363722806376,4.337402659147411,4.449754446994895,0.9894984396369982
tv,cnr_bg,median,46.430714167984675,3.3164795834274767,3.4961625001800227,0.8230261779840266
tv,cnr_bg,global,66.58173066126112,4.755837904375794,4.713650910869451,0.38942750375729457
tv,bg_sigma,sum,20499.18061132805,1464.2271865234322,1440.9595151583744,233.3696055298798
tv,bg_sigma,mean,102.49590305664023,7.3211359326171594,7.204797575791871,1.166848027649399
tv,bg_sigma,median,92.02986572544188,6.573561837531563,6.637495231483247,2.5644087579699124
tv,bg_sigma,global,139.22824667455302,9.944874762468073,9.962721622392987,0.8038927371757436
wavelet,snr,sum,14209.463195686678,1014.9616568347627,972.2625734884335,126.09098018984548
wavelet,snr,mean,71.0473159784334,5.074808284173814,4.861312867442168,0.6304549009492273
wavelet,snr,median,57.3953862878322,4.099670449130872,4.124019156611348,0.3490006751377121
wavelet,snr,global,50.40025967326957,3.6000185480906834,3.6086554524477226,0.14539893024660983
wavelet,enl,sum,90388.2345063358,6456.302464738271,5727.4761578380685,1945.3980570681301
wavelet,enl,mean,451.94117253167906,32.28151232369136,28.637380789190345,9.726990285340651
wavelet,enl,median,237.00796864518978,16.929140617513557,17.007636040463392,2.9571150694743
wavelet,enl,global,181.73784153719333,12.98127439551381,13.023320679130705,1.0473860244373978
wavelet,cnr,sum,6225.4096461275985,444.67211758054276,442.1218671678786,42.24097399165909
wavelet,cnr,mean,31.127048230637996,2.223360587902714,2.2106093358393926,0.21120486995829546
wavelet,cnr,median,30.767771272487412,2.1976979480348153,2.1787564980875858,0.2034490615913122
wavelet,cnr,global,31.273854088078643,2.233846720577046,2.2505457361638928,0.17148667434841067
wavelet,beta,sum,2096.303008973945,149.73592921242465,147.8075124709748,9.33477479307447
wavelet,beta,mean,10.481515044869726,0.7486796460621232,0.7390375623548742,0.04667387396537235
wavelet,beta,median,10.855008205325783,0.7753577289518416,0.7800600955050756,0.06565269938449556
wavelet,beta,global,12.615895964420487,0.9011354260300347,0.8987296985638846,0.02221721782707723
wavelet,snr_bg,sum,21782.329530980966,1555.8806807843546,1552.7443033483787,83.2857953719575
wavelet,snr_bg,mean,108.91164765490481,7.779403403921772,7.763721516741894,0.4164289768597875
wavelet,snr_bg,median,103.99256447445566,7.4280403196039755,7.433180486656788,0.4313054137512075
wavelet,snr_bg,global,116.41923046004533,8.315659318574665,8.185522054296232,0.3035043196729051
wavelet,enl_bg,sum,28254.6470698821,2018.18907642015,1890.1038762361582,289.392552425916
wavelet,enl_bg,mean,141.27323534941053,10.090945382100752,9.450519381180792,1.4469627621295804
wavelet,enl_bg,median,137.73759386657048,9.83839956189789,9.396302007706968,1.6603896316478206
wavelet,enl_bg,global,102.3557358583757,7.311123989883979,7.035045047626877,1.346170891404592
wavelet,cnr_bg,sum,13003.418047908037,928.8155748505741,939.6144650841729,119.07203483927208
wavelet,cnr_bg,mean,65.01709023954018,4.64407787425287,4.698072325420865,0.5953601741963603
wavelet,cnr_bg,median,60.01187718039512,4.286562655742508,4.386098123088489,0.6860115144125487
wavelet,cnr_bg,global,78.69936747230926,5.621383390879233,5.541384755200879,0.40159570598355615
wavelet,bg_sigma,sum,25499.441985233036,1821.3887132309312,1814.469360106274,111.36900153078615
wavelet,bg_sigma,mean,127.49720992616518,9.106943566154657,9.07234680053137,0.5568450076539306
