stem,method,depth_axis,n_slices,threshold,snr_sum,snr_mean,snr_median,global_snr,enl_sum,enl_mean,enl_median,global_enl,cnr_sum,cnr_mean,cnr_median,global_cnr,beta_sum,beta_mean,beta_median,global_beta,snr_bg_sum,snr_bg_mean,snr_bg_median,global_snr_bg,enl_bg_sum,enl_bg_mean,enl_bg_median,global_enl_bg,cnr_bg_sum,cnr_bg_mean,cnr_bg_median,global_cnr_bg,bg_sigma_sum,bg_sigma_mean,bg_sigma_median,global_bg_sigma
2404,wavelet,1,200,61.0,925.3280238504901,4.626640119252451,4.117690338365115,3.6399372816665494,4927.559625168454,24.63779812584227,16.95546924170049,13.249143414466069,433.7400767676424,2.168700383838212,2.093077896377407,2.25102116992169,158.65527937910474,0.7932763968955236,0.8235084834405176,0.9405795661573917,1606.7795000700316,8.033897500350157,7.461188864595737,8.47256547230239,2256.39239610075,11.28196198050375,11.360946324380215,7.67213988022391,939.7356695596708,4.698678347798354,4.1366351863176245,5.702702681436404,1919.4843308163772,9.597421654081886,8.435453460145492,10.67669503322037
2404,nlm,1,200,61.0,755.7437229338682,3.778718614669341,3.615673471735323,3.5406570904955994,3330.78605466304,16.6539302733152,13.073120963455578,12.536252632476764,265.49965631351336,1.3274982815675669,1.204708633201408,2.024503273623337,89.95837875055851,0.44979189375279255,0.4689654538447392,0.680812232638748,2361.5849980189682,11.807924990094842,11.505613365385713,7.614405631919304,11947.981586241336,59.73990793120668,46.2451761570659,7.9124537292075185,999.3758486579219,4.99687924328961,3.5607202673412766,4.801497220824567,1530.3219708213887,7.651609854106944,4.345798015822911,11.005380548228494
2469,original,1,200,54.0,1337.230126477732,6.68615063238866,4.222165887181504,3.798296732629982,12004.18784106535,60.02093920532675,17.82668555255308,14.427058069107598,452.0599928612786,2.260299964306393,2.18358747671504,2.047430265978264,200.0,1.0,1.0,1.0,1291.0020851378654,6.455010425689327,6.363581153803141,7.038436785582755,1579.5706035272185,7.897853017636092,8.025696459819287,7.4378820278598905,730.1272392147209,3.6506361960736045,3.5025563145612706,4.3111887169502205,2216.6455420479933,11.083227710239967,11.119621288920065,11.201613396897335
2469,gaussian,1,200,54.0,1071.6159286692628,5.358079643346314,4.049073022800249,3.2467185468932094,7947.942704182883,39.739713520914414,16.39499235104653,10.541181322740353,222.8044760884086,1.114022380442043,1.0766450565351722,1.5111312912869928,55.11361184699376,0.2755680592349688,0.27260214228336427,0.46523380378013984,1776.3942047013534,8.881971023506766,7.908514489858128,7.514620142545267,9844.362463024005,49.221812315120026,19.275083905724678,13.723908191243936,521.496287230063,2.607481436150315,2.2688132787494384,3.8100407883885854,1440.648426758414,7.20324213379207,7.3937438080055795,8.842917689743977
2469,median,1,200,54.0,732.9655818857163,3.6648279094285816,3.5925546714912526,2.9662284096779437,2888.040309606982,14.440201548034912,12.906459177498185,8.798510978380543,196.58507595457365,0.9829253797728683,1.0147764975169284,1.4362737734819322,50.72136821260304,0.2536068410630152,0.2503701674477893,0.4563634505313661,1303.6286616171928,6.518143308085964,6.2951231680203446,7.052731393565985,3958.129237253949,19.790646186269747,13.946140750588302,11.209073481757224,446.9346899900451,2.2346734499502254,2.1696091325766504,3.7047359512516995,1751.0520066860843,8.755260033430421,8.56155995645742,9.768159545413278
2469,bilateral,1,200,54.0,1388.3756228528637,6.941878114264318,4.291281017584469,3.4049138736131837,16063.543430390673,80.31771715195336,18.41509277556675,11.593438486723535,320.5276307559178,1.602638153779589,1.550404502093228,1.7497389902201068,134.36373289696456,0.6718186644848229,0.6850189353843428,0.8259846777740344,1870.7674294429403,9.353837147214701,9.17864228309693,8.818533558179,7295.6623911170645,36.478311955585326,20.484760022267928,15.687497026473139,722.8755392199994,3.614377696099997,3.338581232372189,4.857789054115005,1243.9089108992832,6.219544554496416,6.1755853081367285,7.718568809931589
2469,tv,1,200,54.0,1323.5911077867665,6.617955538933833,4.144452744037783,3.2588199712679717,15467.334812630703,77.33667406315351,17.176528363680788,10.619907605134983,214.8278688810273,1.0741393444051366,1.047137645569203,1.5173182407098584,63.81817468710419,0.31909087343552095,0.35508108337473065,0.5513179584413311,2248.4172072237466,11.242086036118733,8.361750198539944,7.897186887619011,21381.72142618618,106.9086071309309,21.495707706658298,15.36219912467624,550.7105064624725,2.7535525323123626,2.411430809718428,3.9777227501792716,1291.0894755975546,6.455447377987773,6.996421137042429,8.376138443765202
2469,wavelet,1,200,54.0,988.4675685108964,4.942337842554482,3.909199898307663,3.4176193053205077,5709.379343204386,28.54689671602193,15.281844075175744,11.68012171609943,354.7671938922829,1.7738359694614143,1.7941211172226965,1.8301879222829007,141.37204651288837,0.7068602325644419,0.7248347880113688,0.861108723687052,1448.664444406646,7.24332222203323,7.13203582767148,8.166290715231025,2747.8894331924716,13.739447165962359,13.2307903968013,11.73466509305096,710.8551501186298,3.554275750593149,3.4777002625346656,4.740700971398446,1741.9228634316808,8.709614317158405,8.677515003962073,9.061282890023344
2469,nlm,1,200,54.0,1158.7427144956014,5.793713572478007,3.9733613946335558,3.173930795548871,10392.444492641851,51.96222246320926,15.78760094326843,10.07383669493349,215.04598860719085,1.0752299430359542,1.05930234855989,1.4974934986867472,65.12028053293015,0.32560140266465076,0.3562888649226247,0.560671124671816,1995.636284189428,9.97818142094714,8.290462650701635,7.897221800020484,14166.165243448315,70.83082621724158,20.816170426902794,15.06654890240576,542.1088008268055,2.7105440041340274,2.4263412863276597,4.01565653554202,1341.4294914193904,6.707147457096952,7.201417915480518,8.413499333203404
2541,original,1,200,54.0,1799.0720155218546,8.995360077609273,7.616374728405956,3.7009850517378,22998.40872459517,114.99204362297586,58.00939572682391,13.697290353186647,535.8736547267054,2.6793682736335267,2.582883482882118,2.256386429298991,200.0,1.0,1.0,1.0,1261.9456707057363,6.309728353528682,6.315200630747242,7.007126397888964,1192.3044339309881,5.96152216965494,6.050062260695644,4.734124983576153,778.9026225172731,3.8945131125863655,3.720081824473235,4.831321952729391,2219.290100510189,11.096450502550944,11.136179373183172,11.856530969954559
2541,gaussian,1,200,54.0,1021.1887335946295,5.105943667973148,4.35819179033362,3.412450153719556,6472.600028487758,32.36300014243879,18.993835701252593,11.644816051620621,240.68738646680214,1.2034369323340106,0.9964036673215145,1.9154074685704614,47.39998358541986,0.2369999179270993,0.23082692456372703,0.5127219778881846,1788.153190480115,8.940765952400575,9.24518044056557,7.208088283395441,8960.460538516378,44.80230269258189,32.371225676053925,7.462168767134618,578.6539960025052,2.893269980012526,2.22340113852233,4.476391234465122,1330.2221231737087,6.651110615868544,4.687779201076598,9.93739802376678
2541,median,1,200,54.0,707.0125537104257,3.5350627685521285,3.4997836747622797,3.0956458660177857,2619.186582978317,13.095932914891584,12.248502350843816,9.583023327793006,201.63242203077073,1.0081621101538536,0.8735309264047209,1.8108310666572476,41.35269633780131,0.20676348168900657,0.200293278887199,0.5074241529925534,1258.9160258928923,6.294580129464461,5.961911138462394,7.042146814272397,3399.2163261837904,16.99608163091895,16.93634795590871,6.463419106179191,468.82166377387404,2.3441083188693703,1.8794608424036638,4.499821283153459,1649.6853030344694,8.248426515172348,6.513515246760587,10.590647448166989
2541,bilateral,1,200,54.0,1364.8303450792178,6.824151725396089,5.189024083602054,3.4656006531601795,12597.547956979632,62.98773978489816,26.925972984460923,12.010387887184264,346.8989732696172,1.7344948663480861,1.5803568343888788,2.112275878046355,130.54294683014479,0.6527147341507239,0.640515440612966,0.8635890001149981,1911.1999568942697,9.555999784471348,9.341290081951518,8.84762897712829,6896.25879590304,34.4812939795152,29.32680487819649,9.339670301544444,792.3839289808332,3.9619196449041656,2.8738187768050585,5.7915415599321705,1095.0783369969906,5.475391684984953,4.396762145535083,8.267209457836731
2541,tv,1,200,54.0,1188.551565781279,5.9427578289063945,4.390848704486796,3.4284418652884625,10667.516237211725,53.33758118605862,19.27958827500533,11.754213623662633,226.05655930334044,1.1302827965167022,0.925506055083825,1.9378645335190567,53.56090724705348,0.2678045362352674,0.2831933876801056,0.5965498019913192,2335.842927501276,11.67921463750638,10.500302309217805,7.615081336617705,20064.602314476277,100.32301157238139,43.62877235420986,8.379164662253304,638.3322229046922,3.1916611145234612,2.3678121524828173,4.720402656305622,1146.1309588218865,5.730654794109432,4.134227178794577,9.387868273349552
2541,wavelet,1,200,54.0,1114.109210138913,5.570546050694565,4.850164213871034,3.487241279538234,7221.952840521455,36.10976420260727,23.524270707737898,12.16085174171546,423.4113280562252,2.117056640281126,2.0963142405046407,2.1579568529730206,134.74781562442703,0.6737390781221352,0.6542534778524023,0.8927020393930438,1436.7217619632563,7.183608809816281,6.870964743077989,8.106478449606946,2196.1814557298944,10.980907278649472,11.315095019986927,6.999223643089804,783.0461948063703,3.9152309740318514,3.3598456649913,5.460873860275842,1695.3024244694714,8.476512122347357,7.741453004911422,9.778813374278686
2541,nlm,1,200,54.0,1059.7832816186092,5.298916408093046,4.278052525901213,3.3007962440414174,7528.256164904737,37.64128082452368,18.301735685147833,10.895255844677928,225.5246138115004,1.127623069057502,0.948935520945789,1.8904613321407955,52.67276914883436,0.2633638457441718,0.2789088672710721,0.605416448397012,2019.5051503607206,10.097525751803603,9.821038088072934,7.621287373724321,12907.491089011266,64.53745544505632,38.822494848257534,8.205695182944117,605.8382633793536,3.0291913168967683,2.2899511557111945,4.756728911597197,1226.4668054698984,6.132334027349492,4.376731080983912,9.430849264753146
2615,original,1,200,61.0,1627.5738851670887,8.137869425835444,4.320174593081889,3.743834436784862,42721.443079916935,213.60721539958467,18.6639796638376,14.016296290056227,549.6674075566469,2.7483370377832346,2.5354503758806524,2.3435960511309872,200.0,1.0,1.0,1.0,1423.2296828740273,7.116148414370136,7.07861744847143,7.341976435217841,1191.9282378919343,5.9596411894596715,5.8962291697714235,4.765263898013432,937.7872063276861,4.6889360316384305,4.696293621227521,5.159027993771403,2428.1606764336025,12.140803382168013,12.603713988458514,12.949684819887457
2615,gaussian,1,200,61.0,1016.2557755152459,5.08127887757623,4.151614932404583,3.595779948174375,8289.170656997934,41.445853284989674,17.235906568810968,12.92963343569291,342.9299622423691,1.7146498112118453,1.6391198527076094,2.0773122626769704,66.53013976411148,0.3326506988205574,0.3317974594392632,0.49414082477637,1835.598924827833,9.177994624139165,7.90413175014999,7.099103448229038,5244.214676841944,26.22107338420972,13.48876618179733,6.259022659759734,922.5355794388353,4.612677897194176,3.5515744267134686,4.5972995670745345,1814.8739430943162,9.074369715471581,8.113644133646742,11.904624811287933
2615,median,1,200,61.0,741.1540217905138,3.705770108952569,3.6947110418560394,3.3118141365731506,2907.1336905183302,14.53566845259165,13.6509279986265,10.968112875205764,308.03679274045163,1.540183963702258,1.595576522734266,1.984507205164137,65.29533662659861,0.32647668313299305,0.3422314615853992,0.5187648180503756,1509.4997296761705,7.547498648380853,6.2314130843681,7.046261877675229,2663.675263043865,13.318376315219325,10.074523534458088,5.668587575769645,811.5933527365064,4.057966763682532,3.3507691925157035,4.6653822974004004,2037.9209757453918,10.189604878726959,9.322556065158428,12.422324239584103
2615,bilateral,1,200,61.0,1183.5846129476117,5.9179230647380585,4.257316333996977,3.629560725477939,13390.417693922976,66.95208846961488,18.124746552152892,13.173711059931945,425.677086467751,2.1283854323387548,2.0060233095130426,2.277416217810495,141.43632580379767,0.7071816290189884,0.736509774956386,0.8696490645326894,2102.8627931711862,10.514313965855932,9.572989639469853,8.622579630372043,4906.604439560619,24.533022197803092,15.139916201774515,7.5759265341481115,1172.4256594264548,5.862128297132274,4.57772438471709,5.870139524911415,1471.2061291679615,7.356030645839808,7.049727684136716,10.041764355770301
